2/25/2025 18:49,Female,62,Married but not living together,Unemployed,"55,001 - 70,000",2,I don't own a cat/dog,Own House,2,I don't cook,Home-Cooked Meals,500,500,7000,4,3,4,3,"Panda Express, Max's, KFC, Ramen Nagi, Stoned Steaks, Abe, JT's Inasal, Habit Food Group","Filipino, Japanese, Persian, American","Food Taste, Cost, Accessibility, Menu Variety, Healthy Options"
2/25/2025 19:38,Female,29,Single,Full time (Government Sector),"40,001 - 55,000",2,I own a cat/dog but I DON'T bring them when I eat out,Living with parents/siblings,2,I don't cook,Home-Cooked Meals,500,300,0,4,7,7,3,"S&R Pizza, Little India, Mary Grace, McDonald's, Marugame Udon, Ramen Kuroda, Mr.Kebab, Giyummy","Asian, Korean, Japanese, Mexican, Middle Eastern, Indian, Persian, American","Food Taste, Cost, Occasion, Promos"
2/25/2025 21:12,Female,27,Single,Full time (Private Sector),"70,001 - 85,000",2,I own a cat/dog but I DON'T bring them when I eat out,Renting,1,I don't cook,Food Delivery,1000,500,0,4,1,6,2,"Popeyes, Baksilog, Ukiyo Tavern, any sushi/sashimi place, Ono Poke","Asian, Filipino, Korean, Japanese, Indian","Food Taste, Cost, Accessibility, Menu Variety"
2/26/2025 8:01,Female,32,Married,Self-employed,"25,001 - 40,000",3,I own a cat/dog but I DON'T bring them when I eat out,Renting,2,"No, but I can cook",Food Delivery,700,300,0,6,2,7,4,"mcdo, chowking, jolibee, uncle john fried chicken, greenwich, kfc, burger king, wendy's, kuya J, shakeys","Asian, Filipino, Korean, Japanese, American","Food Taste, Cost, Accessibility, Occasion, Menu Variety"
2/26/2025 12:13,Female,29,Single,Full time (Private Sector),"40,001 - 55,000",2,I own a cat/dog but I DON'T bring them when I eat out,Living with Relatives (not with parents/siblings),5,I don't cook,Home-Cooked Meals,600,400,6000,5,6,1,2,"Wildflour, Contis, Burger King, Jollibee, SM foodcourt","Filipino, Korean, Japanese, Thai, American, Vegetarian, Italian","Instagrammability/Aesthetic, Food Taste, Cost, Accessibility, Menu Variety, Healthy Options, Social Media/Reviews"
2/26/2025 16:21,Male,38,Single,Full time (Private Sector),"100,000 and above",2,I own a cat/dog but I DON'T bring them when I eat out,Renting,7,"No, but I can cook",Home-Cooked Meals,400,400,10000,2,3,2,2,"mcdo, jollibee, burger king, chowking, dimsum break","Asian, Filipino, Japanese, American","Instagrammability/Aesthetic, Food Taste, Cost, Accessibility, Promos"
2/26/2025 16:24,Female,32,Single,Full time (Private Sector),"55,001 - 70,000",2,I don't own a cat/dog,Renting,1,Yes,Eating out at Casual Dining Restaurants,700,400,1500,3,5,2,2,"Manmaru, High Grounds, Sushi Shokunin, Uncle Moe's, KFC, Tokyo Tokyo, Marugame Udon, Nono's, Tablo, Borro","Asian, Korean, Japanese, Persian, Italian","Instagrammability/Aesthetic, Food Taste, Cost, Accessibility, Menu Variety, Experience"
2/26/2025 16:24,Female,32,Single,Full time (Private Sector),"85,001 - 100,000",2,I own a cat/dog but I DON'T bring them when I eat out,Living with parents/siblings,5,"No, but I can cook",Home-Cooked Meals,300,250,10000,3,4,7,2,"Subway, Jollibee, Manmaru, Sankyodai, Pizza Hut","Filipino, Japanese, Vietnamese, American, Italian","Food Taste, Cost, Occasion, Social Media/Reviews"
2/26/2025 16:27,Male,27,Single,Full time (Private Sector),"55,001 - 70,000",2,I own a cat/dog but I DON'T bring them when I eat out,Living with parents/siblings,4,I don't cook,Eating out at Casual Dining Restaurants,700,300,5000,4,5,1,2,"Tres, Magure, Ramen Kuroda, Yushoken, Jollibee, Popeyes, Panda Express","Filipino, Japanese",Food Taste
2/26/2025 16:29,Male,29,Single,Full time (Private Sector),"55,001 - 70,000",2,I don't own a cat/dog,Living with parents/siblings,5,I don't cook,Home-Cooked Meals,500,500,0,3,5,4,1,"jollibee, aristocrat, manmaru, henlin, contis","Asian, Filipino, Japanese, American, Italian","Food Taste, Cost, Accessibility"
2/26/2025 16:40,Female,25,Married,Full time (Private Sector),"25,001 - 40,000",2,I don't own a cat/dog,Renting,2,I don't cook,Eating out at Casual Dining Restaurants,700,600,6000,4,3,2,2,"Genki Sushi, Kenshin, Tenya, Sukiya, Coco Ichibanya, Pancake House, Watami, Nono's, La Creperie, Contis","Filipino, Japanese","Food Taste, Cost, Healthy Options, Promos, Brand, Experience"
2/26/2025 16:51,Female,30,Single,Full time (Private Sector),"40,001 - 55,000",3,I own a cat/dog but I DON'T bring them when I eat out,Living with parents/siblings,4,I don't cook,Home-Cooked Meals,300,300,0,4,3,4,4,"Bobs, Balboa, L'Kaisei, Paula Bistro, Bascon","Asian, Japanese, American","Food Taste, Cost"
2/26/2025 16:52,Male,29,Single,Full time (Private Sector),"40,001 - 55,000",3,I own a cat/dog and bring them when I eat out if I feel like it,Renting,4,I don't cook,Home-Cooked Meals,1000,500,10000,7,4,1,3,N/A,Asian,"Food Taste, Pet Accommodation"
2/26/2025 17:04,Male,29,Married,Full time (Private Sector),"25,001 - 40,000",2,I own a cat/dog and bring them when I eat out if I feel like it,Own House,3,"No, but I can cook",Home-Cooked Meals,200,300,7000,5,5,3,1,"Burger King, McDonald's, Jollibee, Shakey's, KFC, Mang Inasal","Asian, Filipino, Korean, Japanese, Middle Eastern, American, Greek","Food Taste, Cost, Accessibility, Menu Variety, Healthy Options, Promos, Pet Accommodation"
